element_id_RealWorld,device_id,MAC,name,source,Area,Pmax,Efficiency,Name in SensorCloud
EL25A,49,000D6F00029C3855,Mithras49,femtogridmithras,2.256995,296.51,0.131373796,000D6F00029C3855
EL25B,50,000D6F00029C3839,Mithras50,femtogridmithras,2.256995,299.37,0.132640967,000D6F00029C3839
EL26A,51,000D6F00029C3720,Mithras51,femtogridmithras,2.256995,302.84,0.13417841,000D6F00029C3720
EL26B,52,000D6F00029C3833,Mithras52,femtogridmithras,2.256995,304.79,0.13504239,000D6F00029C3833
EL27A,53,000D6F00029C36B6,Mithras53,femtogridmithras,2.256995,300.6,0.13318594,000D6F00029C36B6
EL27B,54,000D6F00029C36E3,Mithras54,femtogridmithras,2.256995,300.16,0.13299099,000D6F00029C36E3
EL28A,55,000d6f0001a2b1fe,Mithras55,femtogridmithras,0.996398,207.24,0.207989177,000d6f0001a2b1fe
EL28B,56,000d6f0001a2b0ab,Mithras56,femtogridmithras,0.996398,207.31,0.20805943,000d6f0001a2b0ab
EL28C,57,000D6F0001A2b28d,Mithras57,femtogridmithras,0.996398,208.51,0.209263768,000D6F0001A2b28d
EL29A,58,000d6f0001a2b0c1,Mithras58,femtogridmithras,0.996398,205.87,0.206614224,000d6f0001a2b0c1
EL29B,59,000d6f0001a2b1c5,Mithras59,femtogridmithras,0.996398,206.73,0.207477333,000d6f0001a2b1c5
EL29C,60,000d6f0001a2b0ac,Mithras60,femtogridmithras,0.996398,202.97,0.203703741,000d6f0001a2b0ac
EL30A,61,000d6f0001a2b260,Mithras61,femtogridmithras,1.40391,208.51,0.148520917,000d6f0001a2b260
EL30B,62,000D6F00029C380F,Mithras62,femtogridmithras,1.40391,207.31,0.147666161,000D6F00029C380F
EL30C,63,000d6f0001a2b0fc,Mithras63,femtogridmithras,1.40391,207.24,0.1476163,000d6f0001a2b0fc
EL31C,64,000D6F0001A2B0D0,Mithras64,femtogridmithras,1.40391,205.87,0.146640454,000D6F0001A2B0D0
E31B,300,00058C,Autarco1,Autarco,1.40391,206.73,0.147253029,E31B
E31A,301,00058A,Autarco2,Autarco,1.40391,202.97,0.144574795,E31A
E32C,302,00067F,Autarco3,Autarco,1.40391,205.32,0.146248691,E32C
E32B,303,670,Autarco4,Autarco,1.40391,204.28,0.145507903,E32B
E32A,304,652,Autarco5,Autarco,1.40391,206.66,0.147203168,E32A
E33C,305,591,Autarco6,Autarco,1.40391,206.35,0.146982356,E33C
E33B,306,586,Autarco7,Autarco,1.40391,207.2,0.147587808,E33B
E33A,320,404000178214-B,APS1,APS,1.40391,206.65,0.147196045,404000178214-B
E34C,321,404000178214-A,APS2,APS,1.40391,206.63,0.147181799,404000178214-A
E34B,322,404000178982-B,APS3,APS,1.40391,206.91,0.147381242,404000178982-B
E34A,323,404000178982-A,APS4,APS,1.40391,206.66,0.147203168,404000178982-A
